dim,scale,method,w,c,sum_c,grid_type,basis_type,method_type,n_samples,seed,f_name,ell_2_error,ell_infty_error,needed_time
21,1,Smolyak,"[0.17354,0.95272,0.38306,0.24071,0.41765,0.25571,0.85181,0.0143 ,0.79106, 0.38759,0.94448,0.29475,0.57397,0.14011,0.33229,0.68831,0.9415 ,0.98304, 0.35633,0.92193,0.86999]","[1.23223,1.33667,1.63989,0.1367 ,0.98574,0.84594,0.8656 ,0.43878,1.85756, 1.27944,1.28145,1.06936,0.00826,0.24323,1.20269,1.86064,1.84221,0.88871, 0.56279,0.35445,1.06767]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0050944324381936,0.2883477366403809,0.727
21,1,Smolyak,"[0.03433,0.26652,0.19463,0.63845,0.20804,0.96747,0.09451,0.93034,0.43721, 0.42192,0.4235 ,0.4189 ,0.87079,0.63616,0.58758,0.2277 ,0.18286,0.08818, 0.84508,0.93735,0.89318]","[1.39216,1.36796,0.82417,0.09935,1.08471,0.56853,0.38332,0.9779 ,1.40906, 1.59353,0.25244,1.17746,0.40949,1.31828,1.38956,0.97098,1.22474,0.86851, 1.36046,0.70507,1.62229]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0132778457945954,0.316395729985735,0.727
21,1,Smolyak,"[0.30563,0.53601,0.81823,0.96488,0.68465,0.69189,0.64923,0.29925,0.54223, 0.57079,0.38266,0.79735,0.26898,0.67664,0.98271,0.95537,0.20829,0.13814, 0.62151,0.02212,0.46027]","[1.03885,0.38397,0.20682,0.30749,1.48279,0.74882,1.95643,1.37603,1.23657, 1.68737,0.49157,2.27139,1.90577,0.08964,2.29609,0.26331,0.31685,1.22551, 1.10505,0.44977,0.15991]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0163410557412266,0.3309212763946273,0.727
21,1,Smolyak,"[0.43492,0.6652 ,0.06847,0.20534,0.00371,0.57651,0.25931,0.20897,0.10746, 0.63065,0.15394,0.84092,0.29993,0.80585,0.41705,0.9007 ,0.21649,0.87121, 0.20937,0.23388,0.07552]","[0.10961,0.49449,0.74131,1.45953,1.16192,1.57623,0.5185 ,1.52794,0.34404, 0.49177,0.81389,1.63136,1.36497,0.43955,1.31759,1.32616,1.24258,1.34906, 0.01835,1.68487,1.38628]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0055814636118106,0.2451196714971401,0.727
21,1,Smolyak,"[0.85498,0.68578,0.79137,0.84696,0.68327,0.36597,0.32585,0.65204,0.12631, 0.29565,0.71525,0.11685,0.93563,0.38975,0.89254,0.99031,0.95608,0.204  , 0.24429,0.37982,0.34021]","[0.20697,1.95575,2.37571,1.66547,0.0149 ,0.2788 ,1.25281,0.47171,0.54295, 0.45254,0.78278,1.43677,0.79965,0.94828,0.39393,0.54741,1.85778,2.29444, 0.66272,1.36463,0.69402]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0078992825147417,0.2841709825991318,0.727
21,1,Smolyak,"[0.9581 ,0.41844,0.44163,0.31027,0.62469,0.54953,0.67511,0.26867,0.83996, 0.61265,0.31603,0.72077,0.48071,0.49807,0.76707,0.73754,0.57638,0.8214 , 0.78147,0.56814,0.74478]","[0.51557,1.62661,1.83801,0.84409,0.63443,1.76966,0.6604 ,1.42907,0.95315, 1.07712,0.85882,0.71269,1.67581,1.35209,1.43937,0.44938,0.50007,0.46608, 1.36861,0.6403 ,0.18868]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.5907702664602681,1.5449633301313317,0.727
21,1,Smolyak,"[0.33898,0.54482,0.75128,0.75843,0.31235,0.53045,0.33468,0.62311,0.47704, 0.04351,0.20528,0.32145,0.73837,0.46986,0.1922 ,0.78395,0.38794,0.31727, 0.30788,0.83398,0.20108]","[0.9365 ,0.32032,0.45289,1.11294,0.03645,2.08343,1.64709,0.97661,1.89349, 0.45268,2.15618,0.68187,1.53645,0.03232,1.80262,0.05458,1.41699,1.2738 , 1.33675,0.58702,0.20901]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.1311645368105279,0.3506087055901834,0.727
21,1,Smolyak,"[0.47396,0.16358,0.1416 ,0.79088,0.25268,0.36141,0.13573,0.24082,0.29619, 0.83103,0.78009,0.47919,0.30964,0.18762,0.47555,0.4146 ,0.19705,0.23504, 0.28034,0.04345,0.17252]","[1.00823,1.24147,0.41786,0.03068,0.93588,1.604  ,1.70432,1.63578,1.59835, 1.6913 ,0.48006,0.84524,0.052  ,0.81107,0.54061,0.81989,1.84254,1.12991, 0.51587,1.16017,0.93475]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0136607284427262,0.327534981308502,0.727
21,1,Smolyak,"[0.26903,0.13447,0.79157,0.62651,0.1546 ,0.16679,0.57885,0.74192,0.68   , 0.2986 ,0.11776,0.05072,0.05359,0.07311,0.91919,0.51296,0.38432,0.48098, 0.68617,0.86306,0.31506]","[0.4156 ,0.33159,1.27833,0.84698,1.12512,1.1321 ,1.2742 ,0.82093,0.03703, 1.00695,1.55475,1.37703,1.66366,0.34349,0.99047,0.75575,1.41754,0.7435 , 1.38595,0.96029,1.53874]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0082973247874897,0.2901803050815605,0.727
21,1,Smolyak,"[0.20336,0.308  ,0.23053,0.7162 ,0.69802,0.31996,0.04244,0.3855 ,0.12838, 0.91516,0.83462,0.68888,0.50108,0.89082,0.27636,0.70607,0.1617 ,0.13666, 0.36556,0.21036,0.77699]","[1.6788 ,0.41549,0.72211,0.4833 ,1.4156 ,1.59354,0.7395 ,0.9922 ,0.93545, 1.71469,0.21479,1.30597,1.70898,1.02486,1.76145,0.24453,1.20587,1.02859, 0.77573,0.48028,0.55827]",21.0,SPARSE,CHEBYSHEV,TASMANIAN,43,42,ZHOU,0.0200702930844458,0.2885337503879741,0.727
