dim,scale,method,w,c,sum_c,grid_type,basis_type,method_type,n_samples,seed,f_name,ell_2_error,ell_infty_error,datetime,needed_time
10,1,Smolyak,"[0.37454,0.95071,0.73199,0.59866,0.15602,0.15599,0.05808,0.86618,0.60112, 0.70807]","[0.04687,2.20842,1.89542,0.48348,0.414  ,0.4176 ,0.69274,1.19484,0.98351, 0.66311]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.29751511038631745,0.5668324683400274,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.61185,0.13949,0.29214,0.36636,0.45607,0.78518,0.19967,0.51423,0.59241, 0.04645]","[1.07367,0.30136,0.11496,1.6769 ,1.7065 ,1.42863,0.53832,0.17261,1.2092 , 0.77785]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5354595134588003,1.505742223562173,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.12204,0.49518,0.03439,0.90932,0.25878,0.66252,0.31171,0.52007,0.54671, 0.18485]","[1.5166 ,1.21244,1.46954,1.39966,0.93522,1.44197,0.13842,0.30655,0.07074, 0.50887]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6951293329019854,1.8130484269149159,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.38868,0.27135,0.82874,0.35675,0.28093,0.5427 ,0.14092,0.8022 ,0.07455, 0.98689]","[1.52837,0.39328,0.01093,1.6139 ,1.39896,1.4428 ,1.52644,0.14654,0.70945, 0.22932]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3351066093766651,0.7252147852395834,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.8631 ,0.6233 ,0.3309 ,0.06356,0.31098,0.32518,0.72961,0.63756,0.88721, 0.47221]","[0.23902,1.42546,1.52047,1.12174,1.54082,0.98688,1.04471,0.85447,0.0508 , 0.21563]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.4667138914744207,1.6624648822173427,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.03143,0.63641,0.31436,0.50857,0.90757,0.24929,0.41038,0.75555,0.2288 , 0.07698]","[0.4264 ,0.23725,1.36814,1.18923,0.93212,1.28244,1.18268,0.27456,1.31349, 0.7937 ]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3015171529974274,0.8717498549580845,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.80744,0.89609,0.318  ,0.11005,0.22794,0.42711,0.81801,0.86073,0.00695, 0.51075]","[0.7635 ,0.40627,0.21925,0.61755,1.72472,0.59118,0.94894,1.28592,0.66513, 1.77753]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.4868686439467063,0.9581657519820205,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.96245,0.25178,0.49725,0.30088,0.28484,0.03689,0.60956,0.50268,0.05148, 0.27865]","[1.51112,0.39857,0.24107,0.81432,1.63987,0.40272,1.11826,1.26714,0.39537, 1.21156]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.39383993384785276,1.118506856089941,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.36778,0.63231,0.63353,0.53577,0.09029,0.8353 ,0.32078,0.18652,0.04078, 0.59089]","[1.3846 ,0.0339 ,1.04646,0.46284,1.31841,0.35632,1.41193,0.79029,1.91421, 0.28102]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3626823134504304,0.8171182109644969,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.34107,0.11347,0.92469,0.87734,0.25794,0.65998,0.81722,0.5552 ,0.52965, 0.24185]","[0.12887,1.2419 ,1.24633,0.87632,0.46927,0.48336,1.00484,1.24175,1.22788, 1.07948]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.34313827892629356,0.6775066220623275,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.64203,0.08414,0.16163,0.89855,0.60643,0.0092 ,0.10147,0.6635 ,0.00506, 0.16081]","[0.8761 ,1.10467,1.04091,0.35806,1.13705,0.37879,0.51953,1.19184,1.03719, 1.35586]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.7065658618173024,1.9659987171437099,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.65761,0.56831,0.09367,0.36772,0.2652 ,0.24399,0.97301,0.3931 ,0.89205, 0.63114]","[1.62124,1.02527,1.17676,1.00463,0.39825,1.47364,0.57271,0.0496 ,1.31662, 0.36127]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6095436842815625,1.5475347650820355,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.94046,0.95393,0.91486,0.37016,0.01546,0.92832,0.42818,0.96665,0.96362, 0.85301]","[0.54379,0.71119,1.57187,0.58529,0.31302,1.02829,1.72888,1.28542,1.05278, 0.17946]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.21673611893815034,0.40829150515660606,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.61501,0.99005,0.14008,0.51833,0.87737,0.74077,0.69702,0.70248,0.35949, 0.29359]","[0.98989,0.99081,1.06047,1.11694,0.6254 ,0.61338,0.97635,0.79494,0.85854, 0.97329]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.596457392397244,1.7345502575086478,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.89001,0.338  ,0.37558,0.09398,0.57828,0.03594,0.4656 ,0.54264,0.28654, 0.59083]","[0.07638,0.09353,2.05994,0.90198,0.31818,1.30779,1.9282 ,0.54045,1.55983, 0.21373]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3181905535412674,0.7936276131656389,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.05168,0.53135,0.54064,0.63743,0.72609,0.97585,0.5163 ,0.32296,0.79519, 0.27083]","[0.98123,0.17537,0.05667,2.15181,1.86866,1.55571,0.91413,0.38736,0.34968, 0.55937]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.44149950490808765,1.256353432405435,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.54923,0.7146 ,0.6602 ,0.27993,0.95487,0.7379 ,0.55435,0.61172,0.4196 , 0.24773]","[0.92537,1.97006,0.03742,0.30174,0.11959,0.10588,2.22381,1.82919,1.23264, 0.25432]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5178180343972308,1.313217232490092,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.49162,0.47347,0.1732 ,0.43385,0.3985 ,0.61585,0.63509,0.0453 ,0.37461, 0.62586]","[0.90164,1.53486,1.1804 ,0.29198,0.12646,1.15124,0.04751,1.04973,1.68492, 1.03127]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.2973443017136485,1.0690058916470901,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.38817,0.64329,0.45825,0.54562,0.94146,0.3861 ,0.96119,0.90535,0.19579, 0.06936]","[0.27898,0.05044,0.26145,1.89077,0.19707,0.88302,2.33887,0.06442,2.2547 , 0.78026]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.46497086398609583,0.9700424711205983,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.11816,0.69674,0.62894,0.87747,0.73507,0.80348,0.28203,0.17744,0.75061, 0.80683]","[1.34744,0.56131,0.50608,1.05619,0.46361,1.26616,1.16774,0.58358,1.02145, 1.02644]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6325550781786442,2.0005423942414886,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.10312,0.90255,0.50525,0.82646,0.32005,0.89552,0.3892 ,0.01084,0.90538, 0.09129]","[0.4854 ,1.44424,1.44506,0.87171,0.96049,0.6817 ,0.44572,0.49962,1.02233, 1.14372]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5505420951245611,1.4111651870362856,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.79158,0.78962,0.09121,0.49442,0.05756,0.54953,0.44153,0.8877 ,0.35092, 0.11707]","[0.31456,1.67523,1.36001,0.22246,0.18502,1.54205,0.16007,1.80799,1.55365, 0.17896]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3902505189208014,1.018787140387191,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.08484,0.98664,0.37427,0.37064,0.8128 ,0.94725,0.986  ,0.75338,0.37626, 0.0835 ]","[1.78195,1.28039,0.97272,2.07822,0.25497,1.12956,0.02603,1.07461,0.1291 , 0.27244]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5422499937379337,1.7765251758690541,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.11753,0.64921,0.74604,0.58337,0.96217,0.37487,0.28571,0.8686 ,0.2236 , 0.96322]","[0.01968,1.57078,0.0699 ,1.44326,0.85465,1.60817,0.11952,0.897  ,1.56985, 0.84719]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.49115675047022256,1.5537211334826397,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.6294 ,0.69575,0.45454,0.62756,0.58431,0.90116,0.04545,0.28096,0.95041, 0.89026]","[0.82342,1.12065,0.50126,0.33995,0.83795,0.63854,1.05473,0.14047,1.76083, 1.78219]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6865635662055077,1.6729334895958439,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.69816,0.5361 ,0.30953,0.8138 ,0.68473,0.16262,0.91093,0.82254,0.9498 , 0.72572]","[1.05625,0.72018,1.60608,1.49129,0.07786,0.0454 ,0.64824,1.3957 ,1.7    , 0.259  ]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5063672577566047,1.2464588171033344,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.59413,0.38089,0.96991,0.84212,0.83833,0.46869,0.41482,0.27341,0.05638, 0.86472]","[1.08304,1.33194,1.32784,0.74001,1.02454,1.25873,1.132  ,0.32955,0.60027, 0.17208]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.577891422446822,1.5091180859730555,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.95405,0.60617,0.22864,0.6717 ,0.61813,0.35816,0.11356,0.67157,0.52031, 0.77232]","[0.8827 ,1.44613,0.93657,0.95189,1.48765,0.6847 ,0.22742,0.04884,1.28145, 1.05265]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.2428724096237148,0.5970932283551155,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.70408,0.21296,0.13637,0.01454,0.35059,0.58992,0.39224,0.43747,0.90416, 0.34826]","[0.77718,1.18492,0.59959,0.94063,1.30394,1.43572,0.22238,1.40105,0.74411, 0.39048]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5462635156907131,1.7566294947383418,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.45914,0.98003,0.49262,0.32875,0.6334 ,0.24015,0.07586,0.12888,0.12805, 0.1519 ]","[0.33309,1.53768,0.43639,0.82937,2.1517 ,1.13719,1.6017 ,0.41345,0.46137, 0.09806]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.32447609084020396,0.9012795463001968,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.16894,0.27859,0.17701,0.0887 ,0.12064,0.46078,0.20633,0.36427,0.50342, 0.69039]","[0.06758,1.37428,1.07943,0.14055,1.50178,1.58309,0.105  ,0.47598,1.38595, 1.28635]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6687332496911352,1.6577005148054225,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.18452,0.20935,0.37047,0.48452,0.61825,0.36891,0.46253,0.74747,0.03668, 0.25244]","[1.38708,1.74069,0.99493,1.03467,0.20839,0.86997,1.03565,0.47147,0.52353, 0.73361]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.7374904384905054,1.7986215876635336,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.02007,0.32208,0.21145,0.3275 ,0.11976,0.89053,0.59359,0.6791 ,0.78917, 0.49844]","[0.17864,1.10387,1.20609,1.53204,0.88715,0.26221,0.58322,0.74621,1.3275 , 1.17307]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.262018527351242,0.683494164066875,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.3561 ,0.98652,0.60577,0.23723,0.10178,0.15286,0.24596,0.16068,0.18657, 0.2851 ]","[0.28829,1.49115,0.13341,0.87216,0.68241,1.63351,0.1863 ,0.66156,1.61204, 1.43917]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3018339319482845,0.5543975945972897,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.81707,0.2579 ,0.17089,0.66864,0.92938,0.55676,0.57161,0.27998,0.76949, 0.18704]","[0.781  ,1.02653,1.22481,0.58491,0.27709,1.47336,0.69643,1.40246,0.37246, 1.16094]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.4177373007428468,0.8788027281729849,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.53259,0.05182,0.3366 ,0.13441,0.06337,0.98996,0.32235,0.80987,0.25464, 0.6815 ]","[1.10919,0.86905,0.68804,0.60089,0.50901,1.35621,1.2119 ,1.408  ,0.18135, 1.06636]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5795693781414346,2.0930330590252586,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.93834,0.18123,0.0665 ,0.74112,0.57447,0.84183,0.13977,0.79527,0.20163, 0.16366]","[0.27235,1.35056,1.10289,0.86724,0.59494,1.45439,0.65067,1.35391,0.72808, 0.62497]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.23531286062826978,0.7771310558544867,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.46268,0.30138,0.74761,0.50272,0.23221,0.89957,0.38389,0.54355,0.90647, 0.62424]","[0.18175,1.46122,0.97594,0.5207 ,0.21654,1.23452,0.96407,0.82941,1.38979, 1.22608]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.20019121096155443,0.5865351124605123,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.15167,0.31172,0.24849,0.74395,0.03353,0.56989,0.76246,0.87677,0.34208, 0.82126]","[0.20998,1.60659,0.24198,0.75406,1.51329,0.28455,0.43513,1.37086,1.36665, 1.21692]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5628693761119739,1.5231287451748519,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.69395,0.54272,0.2518 ,0.3457 ,0.1816 ,0.90845,0.58339,0.40085,0.46201, 0.94728]","[0.23538,0.89981,0.77649,0.93852,0.0278 ,1.33863,1.43071,0.86743,1.06929, 1.41595]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6117753497517692,1.7517804165634732,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.70724,0.15254,0.57629,0.60672,0.42413,0.73644,0.93437,0.92557,0.45084, 0.11324]","[1.57205,1.33909,0.19899,1.46989,1.38857,0.8282 ,0.94382,0.63691,0.08741, 0.53506]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.7120309997886741,1.753154636186319,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.80285,0.00463,0.3335 ,0.39817,0.5374 ,0.91986,0.34635,0.34695,0.7375 , 0.45222]","[0.45924,0.92509,0.28801,0.36065,1.019  ,0.85657,1.87056,0.74098,1.18712, 1.29278]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5034277347223796,1.064318564605433,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.01309,0.66354,0.17804,0.96107,0.14866,0.41462,0.08535,0.99687,0.5022 , 0.59539]","[0.17448,1.95077,0.546  ,2.33599,0.5336 ,0.49601,0.09507,1.22792,1.46924, 0.17092]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.22910074400995586,0.5284833936740703,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.77553,0.45329,0.52439,0.44076,0.40076,0.55964,0.15524,0.18193,0.86179, 0.94612]","[0.95931,0.69575,1.65492,1.05034,0.06524,0.40127,1.83987,1.69327,0.06963, 0.57041]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5555850257643751,1.3129296102099277,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.23107,0.67189,0.01971,0.10411,0.79992,0.17854,0.65275,0.23818,0.09944, 0.24317]","[1.30887,1.55066,1.5045 ,0.71976,1.21068,0.37147,0.53123,1.62431,0.02356, 0.15496]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6390266588632992,1.6890835335005812,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.20789,0.02653,0.18144,0.58304,0.42142,0.89267,0.81744,0.34182,0.25942, 0.37969]","[1.05688,0.47995,1.11749,0.73302,0.9884 ,0.78085,0.52722,1.69814,1.36718, 0.25086]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.497782377828902,1.6173024745578928,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.86847,0.48743,0.89455,0.79986,0.42521,0.02247,0.26868,0.54163,0.63348, 0.25789]","[0.27533,1.64958,1.94489,1.03861,0.33919,0.538  ,0.03633,1.80639,0.23264, 1.13903]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3539401197599312,1.0483724385384856,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.27406,0.55418,0.65142,0.82974,0.20642,0.011  ,0.13689,0.90002,0.87389, 0.59741]","[1.16796,1.29344,0.34108,1.77846,0.81447,0.74517,1.00925,0.09134,0.32341, 1.43541]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5988053742071472,1.336124877817817,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.0828 ,0.60315,0.24535,0.3893 ,0.28869,0.35567,0.71905,0.29712,0.5664 , 0.47605]","[1.30382,1.84046,1.43918,0.42226,0.06126,0.51523,1.16907,0.10103,0.97514, 1.17253]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.710873069257703,1.958381650380968,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.33424,0.77091,0.1066 ,0.07514,0.72819,0.49549,0.6884 ,0.43483,0.2464 , 0.8191 ]","[1.36797,1.18878,0.4657 ,1.01001,0.6177 ,0.15672,1.56972,0.23413,1.62606, 0.76321]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.45758989457453064,0.9958313945563402,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.18513,0.5419 ,0.87295,0.73222,0.80656,0.65878,0.69228,0.8492 ,0.24967, 0.48942]","[0.29048,1.29694,1.23968,0.05177,0.92651,1.21498,0.23712,0.74579,1.20216, 0.04458]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,3.668587294042826e-09,1.3293651529825204e-08,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.69742,0.29735,0.9244 ,0.97106,0.94427,0.47421,0.86204,0.84455,0.3191 , 0.82892]","[0.08378,1.34992,0.52073,0.27296,0.17422,1.57636,0.76946,1.64083,0.14796, 0.7138 ]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,2.021032913982422e-08,6.03171225606282e-08,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.53949,0.79072,0.31875,0.62589,0.88598,0.61586,0.23296,0.0244 ,0.8701 , 0.02127]","[0.93718,0.56672,1.00615,0.85584,1.06922,0.37576,0.82199,0.43064,0.51415, 0.67233]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,2.2096239110780556e-05,6.911693923922674e-05,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.87368,0.98408,0.76827,0.41777,0.42136,0.73758,0.23878,0.11047,0.35462, 0.28724]","[0.50695,0.39968,0.07202,0.03058,1.68988,0.73187,0.65754,1.1628 ,0.37341, 1.62528]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,3.946896910857648e-09,1.0652062227829046e-08,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.78635,0.08941,0.41758,0.87912,0.94473,0.4674 ,0.61341,0.16703,0.99117, 0.23167]","[1.46776,1.01145,0.9462 ,0.79821,0.35913,0.27484,0.34328,0.29027,1.21375, 0.54512]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,2.4808256752799864e-06,6.329355528192391e-06,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.05784,0.9691 ,0.88379,0.92775,0.99491,0.1739 ,0.39624,0.75824,0.69602, 0.1539 ]","[1.36343,0.37509,0.37405,0.8974 ,0.99093,0.96945,0.15289,1.46643,0.44388, 0.21645]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,3.952067350472021e-07,8.259954855517071e-07,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.88875,0.95565,0.86213,0.80952,0.65524,0.55086,0.08699,0.40845,0.37269, 0.25975]","[1.11609,0.76503,0.12504,0.3397 ,1.05413,0.11745,1.31324,0.76391,0.74145, 0.91396]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,5.364659920249904e-07,1.4680629195939482e-06,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.82468,0.34781,0.67802,0.56573,0.26703,0.87863,0.79743,0.65845,0.85058, 0.86729]","[0.82369,0.97329,0.81103,0.79088,0.71933,0.87527,0.18443,1.02429,1.01379, 0.03401]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,2.260615950849638e-07,8.223778972288173e-07,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.82582,0.12887,0.33512,0.74351,0.16076,0.81797,0.83213,0.50747,0.00639, 0.28704]","[0.7642 ,1.21541,0.78264,0.32182,0.78535,0.66889,0.96601,0.13252,0.9427 , 0.67047]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,6.8685405636243084e-06,2.097190521091097e-05,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.96299,0.34187,0.63262,0.93203,0.10251,0.93723,0.68789,0.06784,0.30096, 0.70817]","[0.09117,0.78808,0.46822,0.84053,0.06192,1.1798 ,1.31781,1.31157,1.0148 , 0.1761 ]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,1.3702100782311595e-08,4.4637137297504704e-08,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.75826,0.02459,0.02212,0.32361,0.48864,0.77041,0.6833 ,0.4459 ,0.27363, 0.99712]","[0.69573,0.73688,0.26711,1.29751,1.13242,0.3604 ,0.13449,1.1109 ,1.06847, 0.44609]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,1.5988611340879984e-06,3.7695363599251145e-06,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.95086,0.15106,0.43233,0.94362,0.41973,0.63853,0.39759,0.27422,0.98398, 0.40933]","[1.32839,0.34165,0.31661,0.04626,0.9682 ,0.54753,1.2842 ,0.70306,1.43847, 0.27564]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,9.117680191117395e-08,2.9451040746742703e-07,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.86862,0.7766 ,0.77092,0.84478,0.76102,0.62622,0.13124,0.03253,0.92085, 0.61665]","[1.4529 ,0.87831,0.21397,0.22834,1.25049,0.78489,0.36576,0.89668,0.11712, 1.06153]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,2.453528049945517e-07,6.87379128850997e-07,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.26899,0.79756,0.31036,0.45522,0.01162,0.07245,0.39249,0.47994,0.60002, 0.29166]","[1.04317,1.29105,1.17056,0.05947,0.72124,0.1575 ,0.36331,1.48098,0.21389, 0.74883]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,5.6585791556667986e-08,1.5521813046808065e-07,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.61816,0.70246,0.55965,0.00977,0.32646,0.51771,0.08787,0.35063,0.0332 , 0.07858]","[0.65367,0.21856,0.93466,1.13545,1.31845,0.32962,0.27582,0.17221,1.04811, 1.16346]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,8.044351257548794e-07,2.0386736296081006e-06,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.03159,0.93621,0.05197,0.5413 ,0.70906,0.87097,0.71409,0.80173,0.33945, 0.81483]","[0.12011,1.34157,0.82099,1.22535,0.67815,0.9649 ,0.78922,1.09685,0.12239, 0.09048]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,4.28577579374235e-08,1.1548348948614982e-07,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.2471 ,0.15954,0.87178,0.21921,0.97587,0.3369 ,0.18212,0.7897 ,0.65871, 0.4982 ]","[0.78839,1.02097,0.32431,1.41439,1.38381,0.9232 ,0.28327,0.96565,0.10249, 0.04351]",7.25,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_PRODUCT_PEAK,1.9800844187561516e-08,5.002288453907347e-08,2025-06-29 14:48:51.661978,0.009
